Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
5/3/18-4:1:23,843,143,351,49.30,22.80,0.80,2.10
5/3/18-4:2:24,844,150,366,49.40,22.70,0.70,1.00
5/3/18-4:3:25,843,159,373,50.40,22.70,0.80,1.70
5/3/18-4:4:26,844,158,356,50.30,22.70,0.80,2.10
5/3/18-4:5:27,843,153,367,48.00,22.70,1.10,2.20
5/3/18-4:6:28,845,143,355,48.00,22.70,0.70,1.40
5/3/18-4:7:29,844,169,376,48.10,22.70,0.80,3.30
5/3/18-4:8:30,843,165,358,48.30,22.70,0.80,3.20
5/3/18-4:9:31,844,184,387,48.40,22.80,1.00,1.80
5/3/18-4:10:32,843,198,364,48.50,22.80,0.90,1.40
5/3/18-4:11:33,844,164,353,47.80,22.80,0.70,1.20
5/3/18-4:12:34,844,151,346,46.30,22.80,0.90,3.20
5/3/18-4:13:35,844,163,360,45.90,22.80,0.90,4.50
5/3/18-4:14:36,844,160,368,45.40,22.80,0.90,3.90
5/3/18-4:15:37,844,166,379,46.30,22.80,0.80,0.90
5/3/18-4:16:38,843,161,355,46.30,22.80,0.80,2.30
5/3/18-4:17:39,844,175,377,45.30,22.80,0.70,2.50
5/3/18-4:18:40,844,170,377,45.90,22.80,0.60,0.90
5/3/18-4:19:41,845,183,373,45.40,22.80,0.90,3.10
5/3/18-4:20:42,844,193,367,46.10,22.80,0.80,3.60
5/3/18-4:21:43,844,205,380,46.00,22.80,0.90,2.00
5/3/18-4:22:44,844,174,356,46.60,22.90,0.70,3.00
5/3/18-4:23:45,843,168,360,46.70,22.90,0.60,1.80
5/3/18-4:24:46,844,164,355,46.20,22.90,0.70,1.70
5/3/18-4:25:47,844,143,353,45.30,22.90,0.70,3.10
5/3/18-4:26:48,844,152,383,45.30,22.90,1.20,1.40
5/3/18-4:27:49,844,181,374,45.90,22.90,0.90,2.30
5/3/18-4:28:50,843,167,363,46.70,22.90,0.90,3.30
5/3/18-4:29:51,843,163,363,46.50,22.90,0.80,2.10
5/3/18-4:30:52,844,147,359,47.00,22.90,0.70,2.70
5/3/18-4:31:53,844,155,371,46.30,22.90,0.70,0.70
5/3/18-4:32:54,845,161,386,45.80,22.90,0.90,2.80
